LO_DEBUG: input=6.00000000000006394885 | scaled=600000000000006.37500000000000000000
LO_DEBUG: input=6.00000000000006394885 | scaled=600000000000006.00000000000000000000
LO_DEBUG: input=6.00000000000006483702 | scaled=600000000000006.50000000000000000000
LO_DEBUG: input=6.00000000000006483702 | scaled=600000000000007.00000000000000000000
LO_DEBUG: input=6.00000000000006572520 | scaled=600000000000006.62500000000000000000
LO_DEBUG: input=6.00000000000006572520 | scaled=600000000000007.00000000000000000000
LO_DEBUG: input=6.00000000000006661338 | scaled=600000000000006.62500000000000000000
LO_DEBUG: input=6.00000000000006661338 | scaled=600000000000007.00000000000000000000
LO_DEBUG: input=6.00000000000006750156 | scaled=600000000000006.75000000000000000000
LO_DEBUG: input=6.00000000000006750156 | scaled=600000000000007.00000000000000000000
LO_DEBUG: input=6.00000000000006838974 | scaled=600000000000006.87500000000000000000
LO_DEBUG: input=6.00000000000006838974 | scaled=600000000000007.00000000000000000000
LO_DEBUG: input=6.00000000000006927792 | scaled=600000000000006.87500000000000000000
LO_DEBUG: input=6.00000000000006927792 | scaled=600000000000007.00000000000000000000
LO_DEBUG: input=6.00000000000007016610 | scaled=600000000000007.00000000000000000000
LO_DEBUG: input=6.00000000000007016610 | scaled=600000000000007.00000000000000000000
LO_DEBUG: input=6.00000000000007105427 | scaled=600000000000007.12500000000000000000
LO_DEBUG: input=6.00000000000007105427 | scaled=600000000000007.00000000000000000000
LO_DEBUG: input=6.00000000000007194245 | scaled=600000000000007.25000000000000000000
LO_DEBUG: input=6.00000000000007194245 | scaled=600000000000007.00000000000000000000
LO_DEBUG: input=6.00000000000007283063 | scaled=600000000000007.25000000000000000000
LO_DEBUG: input=6.00000000000007283063 | scaled=600000000000007.00000000000000000000
LO_DEBUG: input=6.00000000000007371881 | scaled=600000000000007.37500000000000000000
LO_DEBUG: input=6.00000000000007371881 | scaled=600000000000007.00000000000000000000
LO_DEBUG: input=6.00000000000007460699 | scaled=600000000000007.50000000000000000000
LO_DEBUG: input=6.00000000000007460699 | scaled=600000000000008.00000000000000000000
LO_DEBUG: input=6.00000000000007549517 | scaled=600000000000007.50000000000000000000
LO_DEBUG: input=6.00000000000007549517 | scaled=600000000000008.00000000000000000000
LO_DEBUG: input=6.00000000000007638334 | scaled=600000000000007.62500000000000000000
LO_DEBUG: input=6.00000000000007638334 | scaled=600000000000008.00000000000000000000
LO_DEBUG: input=6.00000000000007727152 | scaled=600000000000007.75000000000000000000
LO_DEBUG: input=6.00000000000007727152 | scaled=600000000000008.00000000000000000000
LO_DEBUG: input=6.00000000000007815970 | scaled=600000000000007.87500000000000000000
LO_DEBUG: input=6.00000000000007815970 | scaled=600000000000008.00000000000000000000
LO_DEBUG: input=6.00000000000007904788 | scaled=600000000000007.87500000000000000000
LO_DEBUG: input=6.00000000000007904788 | scaled=600000000000008.00000000000000000000
LO_DEBUG: input=6.00000000000007993606 | scaled=600000000000008.00000000000000000000
